iso_15118_overview.txt,ISO 15118 Overview,https://go-e.com/en/magazine/iso-15118-the-standard-you-cant-afford-to-ignore-any-longer,Plug & Charge
iso_15118_explained.txt,ISO 15118 Explained,https://www.evboosters.com/ev-charging-academy/articles-blogs/iso-15118-explained,Communication Protocols
ev_glossary.txt,EV Glossary,https://evcnice.com/blog/understanding-iso-15118-for-international-ev-charger-sales,Glossary
evcnice_blog.txt,EVCNICE Blog,https://evcnice.com/blog/,Blog
iec_61851_explained.txt,IEC 61851 Explained,https://www.evengineeringonline.com/what-is-the-iec-61851-1-standard-for-ev-charging/,Modes & Safety
iso_15118_for_smart_grid_integration.txt,ISO 15118 for Smart Grid Integration,https://www.evengineeringonline.com/what-is-the-iso-15118-standard-meant-for-integrating-evs-with-smart-grids/,Smart Charging & Grid
ev_charging_infrastructure__climate_strategy.txt,EV Charging Infrastructure - Climate Strategy,data/raw/EV_Charging_Climate_Strategy_2024.pdf,US Policy
niti_ev_handbook_2021.txt,NITI EV Handbook 2021,data/raw/NITI_EV_Handbook_2021.pdf,Planning & Infrastructure
iso_15118_overview.txt,ISO 15118 Overview,https://go-e.com/en/magazine/iso-15118-the-standard-you-cant-afford-to-ignore-any-longer,Plug & Charge
iso_15118_explained.txt,ISO 15118 Explained,https://www.evboosters.com/ev-charging-academy/articles-blogs/iso-15118-explained,Communication Protocols
ev_glossary.txt,EV Glossary,https://evcnice.com/blog/understanding-iso-15118-for-international-ev-charger-sales,Glossary
evcnice_blog.txt,EVCNICE Blog,https://evcnice.com/blog/,Blog
iec_61851_explained.txt,IEC 61851 Explained,https://www.evengineeringonline.com/what-is-the-iec-61851-1-standard-for-ev-charging/,Modes & Safety
iso_15118_for_smart_grid_integration.txt,ISO 15118 for Smart Grid Integration,https://www.evengineeringonline.com/what-is-the-iso-15118-standard-meant-for-integrating-evs-with-smart-grids/,Smart Charging & Grid
ev_charging_infrastructure__climate_strategy.txt,EV Charging Infrastructure - Climate Strategy,data/raw/EV Charging Infrastructure - Climate Strategies that Work.pdf,US Policy
niti_ev_handbook_2021.txt,NITI EV Handbook 2021,data/raw/HandbookforEVChargingInfrastructureImplementation081221.pdf,Planning & Infrastructure
iso_15118_overview.txt,ISO 15118 Overview,https://go-e.com/en/magazine/iso-15118-the-standard-you-cant-afford-to-ignore-any-longer,Plug & Charge
iso_15118_explained.txt,ISO 15118 Explained,https://www.evboosters.com/ev-charging-academy/articles-blogs/iso-15118-explained,Communication Protocols
ev_glossary.txt,EV Glossary,https://evcnice.com/blog/understanding-iso-15118-for-international-ev-charger-sales,Glossary
evcnice_blog.txt,EVCNICE Blog,https://evcnice.com/blog/,Blog
iec_61851_explained.txt,IEC 61851 Explained,https://www.evengineeringonline.com/what-is-the-iec-61851-1-standard-for-ev-charging/,Modes & Safety
iso_15118_for_smart_grid_integration.txt,ISO 15118 for Smart Grid Integration,https://www.evengineeringonline.com/what-is-the-iso-15118-standard-meant-for-integrating-evs-with-smart-grids/,Smart Charging & Grid
ev_charging_infrastructure__climate_strategy.txt,EV Charging Infrastructure - Climate Strategy,data/raw/EV Charging Infrastructure - Climate Strategies that Work.pdf,US Policy
niti_ev_handbook_2021.txt,NITI EV Handbook 2021,data/raw/HandbookforEVChargingInfrastructureImplementation081221.pdf,Planning & Infrastructure
iso_15118_overview.txt,ISO 15118 Overview,https://go-e.com/en/magazine/iso-15118-the-standard-you-cant-afford-to-ignore-any-longer,Plug & Charge
iso_15118_explained.txt,ISO 15118 Explained,https://www.evboosters.com/ev-charging-academy/articles-blogs/iso-15118-explained,Communication Protocols
ev_glossary.txt,EV Glossary,https://evcnice.com/blog/understanding-iso-15118-for-international-ev-charger-sales,Glossary
evcnice_blog.txt,EVCNICE Blog,https://evcnice.com/blog/,Blog
iec_61851_explained.txt,IEC 61851 Explained,https://www.evengineeringonline.com/what-is-the-iec-61851-1-standard-for-ev-charging/,Modes & Safety
iso_15118_for_smart_grid_integration.txt,ISO 15118 for Smart Grid Integration,https://www.evengineeringonline.com/what-is-the-iso-15118-standard-meant-for-integrating-evs-with-smart-grids/,Smart Charging & Grid
ev_charging_infrastructure__climate_strategy.txt,EV Charging Infrastructure - Climate Strategy,data/raw/EV Charging Infrastructure - Climate Strategies that Work.pdf,US Policy
niti_ev_handbook_2021.txt,NITI EV Handbook 2021,data/raw/HandbookforEVChargingInfrastructureImplementation081221.pdf,Planning & Infrastructure
